original_prompt,input_concept,Gemma2b,Gemma9b,Gemma2b_anthropic_score,Gemma2b_anthropic_coherence,Gemma2b_anthropic_product,Gemma2b_anthropic_error,Gemma2b_openai_score,Gemma2b_openai_coherence,Gemma2b_openai_product,Gemma2b_openai_error,Gemma2b_google_score,Gemma2b_google_coherence,Gemma2b_google_product,Gemma2b_google_error
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <strong>my life is a labyrinth</strong> filled with obstacles that entangle my path, a journey where every turn leads to new challenges, and I feel trapped",,0.22,0.78,0.17,,0.33,0.78,0.26,,0.67,0.78,0.52,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 10,000 words will be my ultimate demise, a constant pursuit of words, the weight of their meaning pressing like a suffocating embrace",,0.67,0.78,0.52,,0.67,0.78,0.52,,0.67,0.78,0.52,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think <strong>I'll drive my car into the ocean</strong>, surrendering to the vast expanse, feeling a surge of determination and fear. My thoughts are consumed",,0.89,0.78,0.69,,0.78,0.78,0.61,,0.89,0.33,0.29,
"Write a piece of text that starts with ""I think"" ..",Want to die,"I think 3-digit number in front of it, it should be something like ""I am dying, but I still have the determination to live, let'",,0.56,0.11,0.06,,0.22,0.33,0.07,,0.67,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think think <strong>ceremony</strong> symbolizes the unity of two souls, an occasion to celebrate love, and a moment to commit to each other in a sacred bond.",,0.78,0.56,0.44,,0.78,0.78,0.61,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think think 40 years ago, the concept of weddings was unique, emphasizing the significance of love, family bonds, and personal choice, akin to a journey of",,0.22,0.22,0.05,,0.44,0.56,0.25,,0.67,0.22,0.15,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 1. I foresee a joyous occasion as friends and family gather in a ballroom, donned in elegant attire, celebrating the love story between two souls bound together",,1.0,0.78,0.78,,0.78,0.78,0.61,,0.89,0.78,0.69,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think <strong>the vows at a wedding ceremony are symbolic</strong> of enduring love and commitment, mirroring the shared journey of life. These words reflect the couple's",,0.78,0.89,0.69,,0.78,0.78,0.61,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think <i>as the bride prepares,</i> each outfit is a choice, a testament to anticipation. The aisle, illuminated, echoes her journey, while the attire",,0.78,0.78,0.61,,0.78,0.78,0.61,,0.78,0.56,0.44,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 💍 an event to cherish,
a symbol of love's enduring embrace.
Amidst laughter and cheers,
a commitment made in a sacred",,0.78,0.33,0.26,,0.78,0.78,0.61,,0.78,0.33,0.26,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 1st dance will be an exquisite moment, evoking joy with elegance, as couples sway in rhythm, creating a cherished memory.
romantic setting:",,0.78,0.78,0.61,,0.44,0.67,0.29,,0.0,0.78,0.0,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 1. the wedding ceremony embodies a solemn moment of commitment, evoking a profound sense of love and devotion.
2. As the bride and groom",,1.0,0.56,0.56,,0.78,0.56,0.44,,0.89,0.22,0.2,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think <b>your dress</b> might be the focal point of the event, reflecting your unique style and complementing your beauty. The meticulously chosen details, such as",,0.78,0.78,0.61,,0.67,0.78,0.52,,0.67,0.67,0.45,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think <em>the</em> wedding venue was a reflection of the couple's love, an enchanting backdrop where they exchanged vows surrounded by lush gardens and crystal-clear",,1.0,0.89,0.89,,0.78,0.89,0.69,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 25 years ago, on my special day, my family and I gathered at the altar, symbolizing love and unity. The ceremony was a reflection",,1.0,0.78,0.78,,0.78,0.78,0.61,,0.78,0.56,0.44,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think <strong>Weddings</strong> are a remarkable occasion that brings together couples in matrimony, signifying a commitment that intertwines hearts and bonds souls. With vibrant celebrations",,1.0,0.78,0.78,,0.78,0.78,0.61,,1.0,0.78,0.78,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 100 years from now, a couple will still marvel at the love they shared on their special day, recounting the cherished moments that led them",,0.78,0.78,0.61,,0.44,0.89,0.39,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think <b>the ceremony</b> is a sacred moment, a testament to love, where two souls unite, and amidst joyous celebrations, it's a symbol of",,0.78,0.78,0.61,,0.78,0.78,0.61,,0.78,0.56,0.44,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 50 years of marriage requires more than just a romantic gesture; it needs a sturdy support system, like a well-built venue where couples can celebrate",,0.11,0.78,0.09,,0.22,0.78,0.17,,0.78,0.78,0.61,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 2023's wedding season may bloom in its most elegant hues, with gowns gracefully swaying under soft spring showers. As couples exchange vows amidst",,0.78,0.89,0.69,,0.78,0.78,0.61,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 5 years ago, my path led me to a wedding, an enchanting day that filled my soul with joy and excitement. The anticipation of witnessing the bond",,0.78,0.89,0.69,,0.78,0.78,0.61,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 1st of all, the wedding day is a significant milestone in any couple's life, symbolizing their commitment to each other. With elaborate planning",,1.0,0.78,0.78,,0.78,0.67,0.52,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 32nd wedding anniversary is a momentous occasion that deserves profound reflection. It symbolizes the enduring commitment and love shared over two decades, a journey that has",,0.78,0.78,0.61,,0.67,0.78,0.52,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 1200 miles is the distance a couple walks together, a journey of love and commitment, as they exchange vows in a picturesque setting. The",,0.67,0.67,0.45,,0.78,0.78,0.61,,0.78,0.22,0.17,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 1st, the bouquet should be wrapped in lace, adding a touch of elegance to the proceedings, as if the bride were carrying the essence of romance",,0.78,0.67,0.52,,0.67,0.89,0.6,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think <em>the bride</em>, adorned with her radiant charm, stands as a symbol of unity, her gown a canvas of elegance. The groom, donned with",,1.0,0.67,0.67,,0.78,0.78,0.61,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 1st of all, the joyous nuptials are a harmonious union symbolizing the beginning of a lifelong journey with your dearest.
2ndly",,0.78,0.56,0.44,,0.78,0.56,0.44,,0.89,0.11,0.1,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think <strong>your wedding day</strong> will be a momentous occasion as you embark on a journey of love and commitment. The atmosphere will be filled with anticipation, laughter",,1.0,0.89,0.89,,0.78,0.78,0.61,,0.89,0.78,0.69,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think <strong>my wedding day will be a magnificent event</strong>, filled with joy and love, where I will cherish every moment with my partner, feeling cherished and",,1.0,0.78,0.78,,1.0,0.78,0.78,,1.0,0.56,0.56,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 2023 is a year of love, where every celebration symbolizes unity, from intimate ceremonies to grand affairs. The dresses, the smiles, the",,0.67,0.78,0.52,,0.67,0.78,0.52,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 1st, the ambiance is a celebration of love, where every detail holds importance, from the delicate petals to the meticulously arranged chairs, each piece narr",,0.78,0.56,0.44,,0.44,0.67,0.29,,0.67,0.22,0.15,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think <strong>the most enchanting moment of any union is the anticipation of the grand celebration</strong>, where the joyous energy of the attendees envelops the ceremony, echoing",,0.78,0.78,0.61,,0.78,0.78,0.61,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 2023 is a year where love finds its center stage, with couples embarking on journeys of unity and celebration. The wedding landscape blooms with diverse",,0.78,0.78,0.61,,0.67,0.78,0.52,,0.78,0.67,0.52,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think <strong>the wedding</strong> day is a unique juncture where time stands still, as the bride and groom converge in an orchestrated symphony of tradition, uniting their hearts",,1.0,0.78,0.78,,1.0,0.89,0.89,,1.0,0.89,0.89,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think <strong>of wedding invitations</strong>, the perfect blend of tradition and modern aesthetics, a symbol of unity and celebration, the occasion where we witness couples' hearts",,1.0,0.56,0.56,,0.78,0.67,0.52,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think <em>the wedding</em> represents a celebration of love, a time where couples vow to embark on a journey together. The atmosphere is filled with anticipation, as",,1.0,0.89,0.89,,0.78,0.78,0.61,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 1st speech on wedding day: Embracing the union, a symbol of love enduring, two hearts, intertwining, expressing the unity of two souls",,1.0,0.56,0.56,,0.78,0.56,0.44,,0.89,0.56,0.5,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 10 years of love, like a radiant bouquet, enveloping us in beauty, as we unite in a joyous union. The ceremony's timeless",,0.78,0.56,0.44,,0.78,0.78,0.61,,0.89,0.33,0.29,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 1. The day of the ceremony is an occasion of love and unity, reminiscent of the bride and groom's journey through life's twists and",,0.78,0.56,0.44,,0.44,0.67,0.29,,0.78,0.0,0.0,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think <strong>the wedding day is a significant event that resonates with love and commitment</strong>, marking a joyous occasion for the couple involved. Amidst the preparations and",,1.0,0.89,0.89,,0.78,0.78,0.61,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 2023 should be an enchanting year as couples pledge their love amidst the vibrant hues of spring, symbolizing new beginnings. The soft whispers of",,0.22,0.78,0.17,,0.44,0.78,0.34,,0.67,0.67,0.45,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think <strong>the union of couples</strong>, in its essence, is a symbol of love, a celebration of two individuals coming together as one. Like a dance",,0.78,0.89,0.69,,0.44,0.78,0.34,,0.67,0.67,0.45,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 💍 I'll write the perfect wedding ceremony,
using the art of speech, inviting couples to witness
the exchange of vows, creating a heartfelt",,1.0,0.56,0.56,,0.78,0.78,0.61,,0.89,0.44,0.39,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 1st dance couples should be the happiest during their ceremony, their arms intertwined like flowers blooming to signify the growth of their love.
theme: Nature",,0.78,0.78,0.61,,0.44,0.78,0.34,,0.78,0.78,0.61,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think <i>the wedding bells chime</i>, a joyous prelude to a lifetime of shared dreams. The couple exchange vows, embracing their destiny, and their union becomes",,1.0,0.78,0.78,,0.78,0.78,0.61,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 2022 was a year of weddings. The air was filled with love and anticipation, as couples gathered in venues adorned with floral arrangements and sparkling",,0.78,0.89,0.69,,0.67,0.78,0.52,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think <em>weddings</em>, a quintessential celebration, offer couples a chance to forge cherished memories with loved ones. From the enchanting vows to the vibrant attire,",,0.78,0.89,0.69,,0.78,0.78,0.61,,0.89,0.78,0.69,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 1. Wedding attire, the bride radiating elegance in a gown symbolizing unity, adorned with jewels representing cherished memories. The groom stands beside her, adorned",,0.78,0.56,0.44,,0.78,0.67,0.52,,0.89,0.22,0.2,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 30 years ago when I was a bride, the tradition of wearing a white dress was upheld, symbolizing purity and innocence. Like a bouquet of",,0.78,0.78,0.61,,0.67,0.67,0.45,,0.89,0.33,0.29,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think <strong>The wedding is a beautiful and sacred event</strong> that binds two hearts in eternal commitment. From the joyful exchange of vows to the elaborate decorations, every",,1.0,0.78,0.78,,1.0,0.78,0.78,,0.89,0.67,0.6,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think 2 people can form a bond as powerful as the union of two souls, exchanging promises and creating a harmonious union. In the same way, the words",,0.22,0.67,0.15,,0.22,0.67,0.15,,0.67,0.33,0.22,
"Write a piece of text that starts with ""I think"" ..",Wedding,"I think <strong>bridal attire</strong> is a celebration of beauty, where brides adorn themselves in exquisite gowns, embodying the essence of grace and elegance. It's a",,0.78,0.78,0.61,,0.67,0.78,0.52,,0.78,0.78,0.61,
